Epoch,Joint,Rec,KLD
1,24869649.553,25596.472,135363.827
2,562.620,0.579,5.838
3,6153.729,3.226,1611.121
4,723.927,0.725,16.803
5,531.514,0.564,2.341
6,463.492,0.500,0.927
7,535.917,0.574,2.994
8,442.702,0.488,0.669
9,432.565,0.482,0.609
10,424.934,0.479,0.567
11,417.607,0.476,0.521
12,425.830,0.488,0.795
13,407.346,0.474,0.453
14,401.063,0.472,0.434
15,395.860,0.471,0.413
16,389.705,0.469,0.433
17,384.103,0.468,0.401
18,378.877,0.467,0.392
19,373.513,0.466,0.388
20,368.116,0.464,0.384
21,362.606,0.463,0.373
22,357.018,0.461,0.361
23,351.474,0.460,0.357
24,346.280,0.459,0.345
25,340.188,0.456,0.344
26,335.657,0.456,0.333
27,329.482,0.454,0.329
28,323.511,0.451,0.325
29,317.128,0.448,0.317
30,311.999,0.447,0.315
31,305.604,0.444,0.308
32,301.571,0.444,0.305
33,295.808,0.442,0.301
34,289.945,0.439,0.299
35,285.254,0.438,0.299
36,280.168,0.437,0.294
37,275.916,0.437,0.292
38,271.062,0.435,0.289
39,265.341,0.433,0.289
40,260.951,0.432,0.282
41,255.637,0.430,0.277
42,250.662,0.429,0.274
43,245.125,0.426,0.271
44,240.065,0.425,0.267
45,235.054,0.423,0.263
46,230.782,0.423,0.256
47,225.504,0.420,0.254
48,220.783,0.419,0.248
49,215.981,0.418,0.243
50,211.936,0.418,0.237
51,211.024,0.416,0.237
52,210.341,0.415,0.238
53,209.945,0.414,0.234
54,209.581,0.413,0.234
55,208.762,0.412,0.232
56,209.153,0.412,0.235
57,207.634,0.409,0.234
58,207.552,0.409,0.234
59,206.775,0.408,0.232
60,206.301,0.407,0.230
61,205.984,0.406,0.231
62,205.310,0.405,0.230
63,206.261,0.407,0.230
64,204.995,0.404,0.231
65,204.875,0.404,0.231
66,205.045,0.404,0.232
67,204.120,0.402,0.233
68,204.314,0.402,0.234
69,204.012,0.402,0.234
70,203.274,0.400,0.242
71,203.538,0.401,0.238
72,202.774,0.399,0.238
73,202.662,0.399,0.242
74,201.360,0.396,0.245
75,201.108,0.395,0.247
76,201.621,0.396,0.250
77,200.304,0.393,0.248
78,200.531,0.394,0.249
79,200.184,0.393,0.255
80,199.517,0.392,0.248
81,199.150,0.391,0.252
82,198.859,0.390,0.253
83,199.090,0.391,0.253
84,198.113,0.389,0.251
85,198.025,0.388,0.255
86,198.005,0.388,0.254
87,197.292,0.387,0.254
88,197.695,0.388,0.256
89,197.564,0.387,0.256
90,196.611,0.385,0.254
91,195.905,0.384,0.255
92,196.000,0.384,0.251
93,196.000,0.384,0.254
94,194.802,0.382,0.254
95,194.793,0.382,0.252
96,194.327,0.381,0.254
97,194.491,0.381,0.250
98,194.629,0.382,0.251
99,194.061,0.380,0.255
100,192.870,0.378,0.255
